state,postcode,name,region
VIC,3191,SANDRINGHAM,DANDENONG
VIC,3192,CHELTENHAM,DANDENONG
VIC,3192,CHELTENHAM EAST,DANDENONG
VIC,3192,SOUTHLAND CENTRE,DANDENONG
VIC,3193,BEAUMARIS,DANDENONG
VIC,3193,BLACK ROCK,DANDENONG
VIC,3193,BLACK ROCK NORTH,DANDENONG
VIC,3193,CROMER,DANDENONG
VIC,3194,MENTONE,DANDENONG
VIC,3194,MENTONE EAST,DANDENONG
VIC,3194,MOORABBIN AIRPORT,DANDENONG
VIC,3195,ASPENDALE,DANDENONG
VIC,3195,ASPENDALE GARDENS,DANDENONG
VIC,3195,BRAESIDE,DANDENONG
VIC,3195,MORDIALLOC,DANDENONG
VIC,3195,PARKDALE,DANDENONG
VIC,3195,WATERWAYS,DANDENONG
VIC,3196,BONBEACH,DANDENONG
VIC,3196,CHELSEA,DANDENONG
VIC,3196,CHELSEA HEIGHTS,DANDENONG
VIC,3196,EDITHVALE,DANDENONG
VIC,3197,CARRUM,FRANKSTON
VIC,3197,PATTERSON LAKES,FRANKSTON
VIC,3198,SEAFORD,FRANKSTON
VIC,3199,FRANKSTON,FRANKSTON
VIC,3199,FRANKSTON EAST,FRANKSTON
VIC,3199,FRANKSTON HEIGHTS,FRANKSTON
VIC,3199,FRANKSTON SOUTH,FRANKSTON
VIC,3199,KARINGAL CENTRE,FRANKSTON
VIC,3200,FRANKSTON NORTH,FRANKSTON
VIC,3200,PINES FOREST,FRANKSTON
VIC,3201,CARRUM DOWNS,FRANKSTON
VIC,3202,HEATHERTON,DANDENONG
VIC,3204,BENTLEIGH,DANDENONG
VIC,3204,MCKINNON,DANDENONG
VIC,3204,ORMOND,DANDENONG
VIC,3204,PATTERSON,DANDENONG
VIC,3205,SOUTH MELBOURNE,MOORABBIN
VIC,3206,ALBERT PARK,MOORABBIN
VIC,3206,MIDDLE PARK,MOORABBIN
VIC,3207,GARDEN CITY,MOORABBIN
VIC,3207,PORT MELBOURNE,MOORABBIN
VIC,3211,LITTLE RIVER,VIC COUNTRY
VIC,3212,AVALON,VIC COUNTRY
VIC,3212,LARA,VIC COUNTRY
VIC,3212,POINT WILSON,VIC COUNTRY
VIC,3213,ANAKIE,VIC COUNTRY
VIC,3213,BATESFORD,VIC COUNTRY
VIC,3213,LOVELY BANKS,VIC COUNTRY
VIC,3213,MOORABOOL,VIC COUNTRY
VIC,3214,CORIO,VIC COUNTRY
VIC,3214,NORLANE,VIC COUNTRY
VIC,3214,NORTH SHORE,VIC COUNTRY
VIC,3215,BELL PARK,VIC COUNTRY
VIC,3215,BELL POST HILL,VIC COUNTRY
VIC,3215,DRUMCONDRA,VIC COUNTRY
VIC,3215,GEELONG NORTH,VIC COUNTRY
VIC,3215,HAMLYN HEIGHTS,VIC COUNTRY
VIC,3215,NORTH GEELONG,VIC COUNTRY
VIC,3215,RIPPLESIDE,VIC COUNTRY
VIC,3216,BELMONT,VIC COUNTRY
VIC,3216,GROVEDALE,VIC COUNTRY
VIC,3216,GROVEDALE EAST,VIC COUNTRY
VIC,3216,HIGHTON,VIC COUNTRY
VIC,3216,MARSHALL,VIC COUNTRY
VIC,3216,WANDANA HEIGHTS,VIC COUNTRY
VIC,3216,WAURN PONDS,VIC COUNTRY
VIC,3217,ARMSTRONG CREEK,VIC COUNTRY
VIC,3217,CHARLEMONT,VIC COUNTRY
VIC,3217,FRESHWATER CREEK,VIC COUNTRY
VIC,3217,MOUNT DUNEED,VIC COUNTRY
VIC,3218,FYANSFORD,VIC COUNTRY
VIC,3218,GEELONG WEST,VIC COUNTRY
VIC,3218,HERNE HILL,VIC COUNTRY
VIC,3218,MANIFOLD HEIGHTS,VIC COUNTRY
VIC,3218,MURGHEBOLUC,VIC COUNTRY
VIC,3218,STONEHAVEN,VIC COUNTRY
VIC,3219,BREAKWATER,VIC COUNTRY
VIC,3219,EAST GEELONG,VIC COUNTRY
VIC,3219,NEWCOMB,VIC COUNTRY
VIC,3219,ST ALBANS PARK,VIC COUNTRY
VIC,3219,THOMSON,VIC COUNTRY
VIC,3219,WHITTINGTON,VIC COUNTRY
VIC,3220,BAREENA,VIC COUNTRY
VIC,3220,GEELONG,VIC COUNTRY
VIC,3220,NEWTOWN,VIC COUNTRY
VIC,3220,SOUTH GEELONG,VIC COUNTRY
VIC,3221,BARRABOOL,VIC FAR COUNTRY
VIC,3221,CERES,VIC FAR COUNTRY
VIC,3221,GNARWARRE,VIC FAR COUNTRY
VIC,3222,CLIFTON SPRINGS,VIC FAR COUNTRY
VIC,3222,CURLEWIS,VIC FAR COUNTRY
VIC,3222,DRYSDALE,VIC FAR COUNTRY
VIC,3222,MANNERIM,VIC FAR COUNTRY
VIC,3222,MARCUS HILL,VIC FAR COUNTRY
VIC,3222,WALLINGTON,VIC FAR COUNTRY
VIC,3223,BELLARINE,VIC FAR COUNTRY
VIC,3223,INDENTED HEAD,VIC FAR COUNTRY
VIC,3223,PORTARLINGTON,VIC FAR COUNTRY
VIC,3223,ST LEONARDS,VIC FAR COUNTRY
VIC,3224,LEOPOLD,VIC COUNTRY
VIC,3224,MOOLAP,VIC COUNTRY
VIC,3225,POINT LONSDALE,VIC FAR COUNTRY
VIC,3225,QUEENSCLIFF,VIC FAR COUNTRY
VIC,3225,SWAN BAY,VIC FAR COUNTRY
VIC,3225,SWAN ISLAND,VIC FAR COUNTRY
VIC,3226,OCEAN GROVE,VIC FAR COUNTRY
VIC,3227,BARWON HEADS,VIC FAR COUNTRY
VIC,3227,BREAMLEA,VIC FAR COUNTRY
VIC,3227,CONNEWARRE,VIC FAR COUNTRY
VIC,3228,BELLBRAE,VIC COUNTRY
VIC,3228,BELLS BEACH,VIC COUNTRY
VIC,3228,JAN JUC,VIC COUNTRY
VIC,3228,TORQUAY,VIC COUNTRY
VIC,3230,ANGLESEA,VIC FAR COUNTRY
VIC,3231,AIREYS INLET,VIC FAR COUNTRY
VIC,3231,BIG HILL,VIC FAR COUNTRY
VIC,3231,EASTERN VIEW,VIC FAR COUNTRY
VIC,3231,FAIRHAVEN,VIC FAR COUNTRY
VIC,3231,MOGGS CREEK,VIC FAR COUNTRY
VIC,3232,LORNE,VIC FAR COUNTRY
VIC,3233,APOLLO BAY,VIC FAR COUNTRY
VIC,3233,CAPE OTWAY,VIC FAR COUNTRY
VIC,3233,MARENGO,VIC FAR COUNTRY
VIC,3233,PETTICOAT CREEK,VIC FAR COUNTRY
VIC,3233,SKENES CREEK,VIC FAR COUNTRY
VIC,3233,SKENES CREEK NORTH,VIC FAR COUNTRY
VIC,3234,GREY RIVER,VIC FAR COUNTRY
VIC,3234,KENNETT RIVER,VIC FAR COUNTRY
VIC,3234,SEPARATION CREEK,VIC FAR COUNTRY
VIC,3234,SUGARLOAF,VIC FAR COUNTRY
VIC,3234,WONGARRA,VIC FAR COUNTRY
VIC,3234,WYE RIVER,VIC FAR COUNTRY
VIC,3235,BENWERRIN,VIC FAR COUNTRY
VIC,3235,BOONAH,VIC FAR COUNTRY
VIC,3235,DEANS MARSH,VIC FAR COUNTRY
VIC,3235,PENNYROYAL,VIC FAR COUNTRY
VIC,3236,FORREST,VIC FAR COUNTRY
VIC,3236,MOUNT SABINE,VIC FAR COUNTRY
VIC,3237,AIRE VALLEY,VIC FAR COUNTRY
